in s,C1 in V,C2 in V,C3 in V,C4 in V
-1.0117E-02,2.26852E-01,3.50372E-03,3.06262E-01,2.19231E-01
-1.0114E-02,2.26456E-01,3.42743E-03,3.22146E-01,2.19536E-01
-1.0111E-02,2.26883E-01,3.19855E-03,3.38290E-01,2.19994E-01
-1.0107E-02,2.27188E-01,3.42743E-03,3.50787E-01,2.20376E-01
-1.0104E-02,2.27798E-01,2.89337E-03,3.74377E-01,2.19613E-01
-1.0101E-02,2.28226E-01,3.88519E-03,4.01629E-01,2.20299E-01
-1.0098E-02,2.28867E-01,3.65631E-03,4.09060E-01,2.20452E-01
-1.0094E-02,2.28775E-01,4.41925E-03,4.28271E-01,2.19918E-01
-1.0091E-02,2.28500E-01,4.19037E-03,4.46978E-01,2.19994E-01
-1.0088E-02,2.28928E-01,3.88519E-03,4.60132E-01,2.20070E-01
-1.0084E-02,2.28104E-01,3.80890E-03,4.74460E-01,2.20986E-01
-1.0081E-02,2.28897E-01,4.19037E-03,4.86255E-01,2.19231E-01
-1.0078E-02,2.29630E-01,4.49554E-03,4.99225E-01,2.19536E-01
-1.0075E-02,2.29691E-01,4.72443E-03,5.08654E-01,2.19689E-01
-1.0071E-02,2.30087E-01,4.87701E-03,5.16116E-01,2.19460E-01
-1.0068E-02,2.30453E-01,5.79254E-03,5.18145E-01,2.19155E-01
-1.0065E-02,2.30453E-01,5.71625E-03,5.15536E-01,2.18545E-01
-1.0061E-02,2.30453E-01,6.02142E-03,5.11752E-01,2.18087E-01
-1.0058E-02,2.30942E-01,6.17401E-03,4.99270E-01,2.19002E-01
-1.0055E-02,2.31003E-01,6.02142E-03,4.79770E-01,2.19536E-01
-1.0052E-02,2.31247E-01,6.47919E-03,4.61062E-01,2.19994E-01
-1.0048E-02,2.32224E-01,7.01324E-03,4.50732E-01,2.19765E-01
-1.0045E-02,2.32040E-01,6.40289E-03,4.36999E-01,2.19308E-01
-1.0042E-02,2.32315E-01,6.63177E-03,4.38449E-01,2.19918E-01
-1.0039E-02,2.32315E-01,6.09772E-03,4.28866E-01,2.19536E-01
-1.0035E-02,2.32468E-01,6.40289E-03,4.01919E-01,2.19918E-01
-1.0032E-02,2.32407E-01,6.78436E-03,3.82785E-01,2.19231E-01
-1.0029E-02,2.31888E-01,5.25848E-03,3.66290E-01,2.18926E-01
-1.0025E-02,2.32010E-01,5.94513E-03,3.46942E-01,2.19460E-01
